AP_NAME,GATWAY_IP,REMOTE_IP
PLC,,
MCS,192.168.1.254,127.0.0.1
ROUTER,192.168.1.254,127.0.0.1
OHT1,192.168.1.254,192.168.1.101
OHT2,192.168.1.254,192.168.1.102
OHT3,192.168.1.254,192.168.1.103
OHT4,192.168.1.254,192.168.1.104
OHT5,192.168.1.254,192.168.1.105
OHT6,192.168.1.254,192.168.1.106
OHT7,192.168.1.254,192.168.1.107
OHT8,192.168.1.254,192.168.1.108
OHT9,192.168.1.254,192.168.1.109
OHT10,192.168.1.254,192.168.1.110
OHT11,192.168.1.254,192.168.1.111
OHT12,192.168.1.254,192.168.1.112
OHT13,192.168.1.254,192.168.1.113
OHT14,192.168.1.254,192.168.1.114
MTL,192.168.1.254,192.168.2.17
MTS,192.168.1.254,192.168.2.15
MTS2,192.168.1.254,192.168.2.16
HID1,192.168.1.254,192.168.2.11
HID2,192.168.1.254,192.168.2.12
HID3,192.168.1.254,192.168.2.13
HID4,192.168.1.254,192.168.2.14
ADAM6050_1,192.168.1.254,192.168.1.91
ADAM6050_2,192.168.1.254,192.168.1.92
ADAM6050_3,192.168.1.254,192.168.1.93
ADAM6050_4,192.168.1.254,192.168.1.94
AP1,192.168.1.254,192.168.1.25
AP2,192.168.1.254,192.168.1.26
AP3,192.168.1.254,192.168.1.27
AP4,192.168.1.254,192.168.1.28
AP5,192.168.1.254,192.168.1.29
AP6,192.168.1.254,192.168.1.30
AP7,192.168.1.254,192.168.1.31
AP8,192.168.1.254,192.168.1.32
AP9,192.168.1.254,192.168.1.33
AP10,192.168.1.254,192.168.1.34
